Member_number,Recency,Frequency,Monetary
1000,36,13,53.800000000000004
1001,243,12,100.0
1002,123,8,70.3
1003,324,8,60.65
1004,29,21,204.95999999999998
1005,707,4,24.0
1006,200,15,182.94
1008,89,12,155.9
1009,87,9,48.75
1010,153,12,89.36
1011,22,13,89.8
1012,42,11,75.86
1013,90,19,186.75
1014,89,10,75.1
1015,241,7,71.4
1016,87,11,104.7
1017,92,11,75.49
1018,222,8,94.60000000000001
1019,386,2,73.5
1020,79,10,73.84
1021,54,8,53.4
1022,572,6,117.5
1023,186,17,182.0
1024,143,4,58.199999999999996
1025,134,6,42.62
1026,217,17,117.35
1027,228,9,129.70000000000002
1028,173,13,107.60000000000001
1029,292,2,16.349999999999998
1031,77,7,64.60000000000001
1032,130,16,96.46
1033,199,12,91.3
1034,597,9,83.05
1035,114,14,69.89999999999999
1036,710,2,10.8
1037,15,10,58.44
1038,17,19,214.20000000000002
1039,214,2,2.7
1040,35,11,48.1
1041,273,10,113.75
1042,76,6,35.75
1043,355,8,94.69
1044,67,4,25.400000000000002
1045,36,9,103.30000000000001
1046,190,4,16.7
1047,144,6,51.60000000000001
1048,74,6,23.8
1049,117,8,62.300000000000004
1050,241,14,124.6
1051,51,20,207.35999999999999
1052,65,27,271.9
1053,175,12,80.7
1054,71,9,43.9
1055,220,6,75.69999999999999
1056,52,6,58.199999999999996
1057,571,8,32.15
1058,51,8,38.900000000000006
1059,565,5,16.8
1061,117,14,149.1
1062,104,16,129.32
1063,342,4,8.1
1064,159,7,59.1
1065,48,14,225.4
1066,567,6,19.92
1067,164,8,112.3
1068,183,4,20.700000000000003
1069,133,10,90.45
1070,421,4,66.39999999999999
1071,461,3,17.1
1072,69,4,50.7
1073,28,12,109.80000000000001
1074,76,10,71.96000000000001
1075,42,11,80.3
1076,78,13,87.9
1077,110,14,50.9
1078,64,7,50.0
1079,113,6,89.1
1080,231,5,17.8
1081,242,16,138.6
1082,597,5,65.8
1083,328,7,102.7
1084,622,2,7.6
1085,138,7,31.740000000000002
1086,3,14,94.4
1087,139,21,193.82
1088,31,9,58.75
1089,391,2,9.3
1090,71,12,219.2
1092,83,20,104.31
1093,278,2,3.65
1094,114,20,149.79
1095,62,8,57.760000000000005
1096,156,2,15.3
1097,60,17,106.48
1098,49,24,267.62
1099,140,6,39.7
1100,294,10,88.3
1101,368,7,52.0
1102,187,10,73.7
1103,404,10,87.1
1104,65,10,40.25
1105,223,6,34.8
1107,91,20,129.38
1108,154,12,94.06
1109,269,12,93.9
1110,41,18,155.9
1111,41,11,53.3
1112,266,4,26.36
1113,148,11,74.65
1114,174,16,121.12
1115,343,8,68.5
1116,32,24,157.4
1117,221,3,34.6
1118,6,18,173.4
1119,330,2,22.400000000000002
1120,96,17,144.39000000000001
1121,656,2,30.62
1122,10,6,33.0
1123,49,11,73.6
1124,495,4,15.9
1125,42,11,67.56
1126,228,9,124.20000000000002
1127,77,12,85.16
1128,179,10,67.25
1129,375,13,179.64
1130,104,11,94.95
1132,100,10,25.44
1133,150,13,148.94
1134,392,7,48.4
1135,174,10,43.370000000000005
1136,58,19,209.06
1137,96,6,17.6
1138,120,6,53.3
1139,346,9,72.8
1140,188,8,66.7
1141,381,9,80.8
1142,201,8,81.0
1143,250,12,54.5
1144,77,16,133.25
1145,85,6,34.6
1146,110,20,157.52
1147,410,6,49.2
1148,95,19,118.76
1149,19,7,34.6
1150,27,10,54.400000000000006
1151,105,5,68.80000000000001
1152,165,8,83.05
1153,23,17,101.5
1154,228,9,35.2
1155,4,8,89.3
